NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NOM_TYPEPRODUCTION,NOM_PROVENANCE,NO_TYPEPRODUCTION,NO_PROVENANCE
2,DOG'S WORLD,"Michel David , Isabelle Turcotte, Jacques Laberge",1997,1997-02-01,1997-12-31,0,0,Série télévisée,Coproduction,13,8
3,JET,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
4,FABRIQUE D'IMAGES,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
5,CINQ  HISTOIRES,Nader Dolatshahi,1997,1997-01-10,1997-12-31,0,0,Série télévisée,Canadienne,13,6
6,THE HUNGER,Différent à chaque épisode.,1997,1997-01-01,1997-05-01,0,0,Série télévisée,Canadienne,13,6
7,UNIV. DE MTL,François Dompierre,1997,1997-02-26,1997-03-06,0,0,Film étudiant,Canadienne,19,6
8,ÉMISSION J.E.,Serge Catafard,1997,1997-01-01,1997-12-31,0,0,Série télévisée,Canadienne,13,6
9,ÉMISSION FLASH-SONIA BENEZRA  R.-GRANDS DUCS,Guy Gagnon,1997,1997-01-08,1997-05-30,0,0,Série télévisée,Canadienne,13,6
10,MUSIQUE  PLUS,,1997,1997-01-01,1997-08-31,0,0,Télévision générale,Canadienne,14,6
11,4 X 4,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
12,URGENCE  II,François Bouvier et Alain Chartrand,1997,1997-01-01,1997-02-15,0,0,Série télévisée,Canadienne,13,6
13,TÉLÉVISION INTERNATIONAL,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
14,LA CHASSE AUX P'TITS GIBIERS,,1997,1997-01-27,1997-02-27,0,0,Film étudiant,Canadienne,19,6
15,PULSE  NEWS,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
16,DÉCOUVERTE,,1997,1997-01-01,1997-12-31,0,0,Télévision générale,Canadienne,14,6
17,THE TRANSLATORS,,1997,1997-02-14,1997-02-25,0,0,Film étudiant,Canadienne,19,6
18,VIDÉO CORPO PROBL. ALCOOL,,1997,1997-01-01,1997-12-31,0,0,Vidéo,Canadienne,17,6
19,PRÉV. ACCIDENTS SPORTS,,1997,1997-01-01,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
20,LES AFFAIRES MONDIALES,Larry Shapiro,1997,1997-01-01,1998-03-20,0,0,Télévision générale,Canadienne,14,6
21,DERNIÈRE VAGUE,,1997,1997-01-27,1997-12-31,0,0,Message publicitaire,Canadienne,15,6
